_lerpT,_lerp1,_lerp2,_hoverPositionY
0.001194873,1.92,2.12,1.920239
0.003234398,1.92,2.12,1.920647
0.006463636,1.92,2.12,1.921293
0.01295495,1.92,2.12,1.922591
0.02183171,1.92,2.12,1.924366
0.02851235,1.92,2.12,1.925702
0.04016773,1.92,2.12,1.928033
0.04918618,1.92,2.12,1.929837
0.05877347,1.92,2.12,1.931755
0.07500802,1.92,2.12,1.935002
0.08648645,1.92,2.12,1.937297
0.0987649,1.92,2.12,1.939753
0.1117185,1.92,2.12,1.942344
0.1252408,1.92,2.12,1.945048
0.1392616,1.92,2.12,1.947852
0.1538751,1.92,2.12,1.950775
0.1692652,1.92,2.12,1.953853
0.1851936,1.92,2.12,1.957039
0.2016473,1.92,2.12,1.960329
0.2270812,1.92,2.12,1.965416
0.2445492,1.92,2.12,1.96891
0.2625245,1.92,2.12,1.972505
0.2805114,1.92,2.12,1.976102
0.2990785,1.92,2.12,1.979816
0.3276592,1.92,2.12,1.985532
0.3562024,1.92,2.12,1.99124
0.3749248,1.92,2.12,1.994985
0.3948805,1.92,2.12,1.998976
0.41565,1.92,2.12,2.00313
0.4451313,1.92,2.12,2.009026
0.4752148,1.92,2.12,2.015043
0.5061885,1.92,2.12,2.021238
0.5363888,1.92,2.12,2.027278
0.5562184,1.92,2.12,2.031244
0.5757849,1.92,2.12,2.035157
0.595507,1.92,2.12,2.039101
0.6155014,1.92,2.12,2.0431
0.6554525,1.92,2.12,2.05109
0.6835673,1.92,2.12,2.056713
0.7023165,1.92,2.12,2.060463
0.7293304,1.92,2.12,2.065866
0.7566931,1.92,2.12,2.071338
0.7736796,1.92,2.12,2.074736
0.7907416,1.92,2.12,2.078148
0.8073837,1.92,2.12,2.081477
0.831054,1.92,2.12,2.086211
0.8467293,1.92,2.12,2.089346
0.8613602,1.92,2.12,2.092272
0.8895409,1.92,2.12,2.097908
0.907989,1.92,2.12,2.101598
0.9200387,1.92,2.12,2.104008
0.9361835,1.92,2.12,2.107237
0.9462194,1.92,2.12,2.109244
0.9556053,1.92,2.12,2.111121
0.9642002,1.92,2.12,2.11284
0.9719843,1.92,2.12,2.114397
0.9788723,1.92,2.12,2.115774
0.9849337,1.92,2.12,2.116987
0.989885,1.92,2.12,2.117977
0.9938288,1.92,2.12,2.118766
0.9969084,1.92,2.12,2.119382
0.9989085,1.92,2.12,2.119781
0.99989,1.92,2.12,2.119978
0.99989,1.92,2.12,2.12
0,2.12,1.92,2.12
0.0005231143,2.12,1.92,2.119895
0.002122944,2.12,1.92,2.119575
0.00476621,2.12,1.92,2.119047
0.00838787,2.12,1.92,2.118322
0.01305032,2.12,1.92,2.11739
0.01853936,2.12,1.92,2.116292
0.02497917,2.12,1.92,2.115004
0.03246757,2.12,1.92,2.113506
0.0404805,2.12,1.92,2.111904
0.04927929,2.12,1.92,2.110144
0.05914667,2.12,1.92,2.108171
0.06977845,2.12,1.92,2.106044
0.0812057,2.12,1.92,2.103759
0.09316729,2.12,1.92,2.101367
0.1126679,2.12,1.92,2.097466
0.1256401,2.12,1.92,2.094872
0.139854,2.12,1.92,2.092029
0.1545175,2.12,1.92,2.089096
0.169956,2.12,1.92,2.086009
0.1857637,2.12,1.92,2.082847
0.2022574,2.12,1.92,2.079548
0.2190002,2.12,1.92,2.0762
0.2361944,2.12,1.92,2.072761
0.2537497,2.12,1.92,2.06925
0.2717378,2.12,1.92,2.065652
0.2974035,2.12,1.92,2.060519
0.3181098,2.12,1.92,2.056378
0.3371539,2.12,1.92,2.052569
0.3566896,2.12,1.92,2.048662
0.4022855,2.12,1.92,2.039543
0.496814,2.12,1.92,2.020637
0.5280173,2.12,1.92,2.014396
0.5483708,2.12,1.92,2.010326
0.5683851,2.12,1.92,2.006323
0.5882384,2.12,1.92,2.002352
0.6083834,2.12,1.92,1.998323
0.6278005,2.12,1.92,1.99444
0.6475925,2.12,1.92,1.990481
0.6765382,2.12,1.92,1.984692
0.695324,2.12,1.92,1.980935
0.7225929,2.12,1.92,1.975481
0.7412385,2.12,1.92,1.971752
0.758796,2.12,1.92,1.968241
0.7764989,2.12,1.92,1.9647
0.7933189,2.12,1.92,1.961336
0.8094832,2.12,1.92,1.958103
0.8260839,2.12,1.92,1.954783
0.8422107,2.12,1.92,1.951558
0.8569879,2.12,1.92,1.948602
0.8777229,2.12,1.92,1.944455
0.8911891,2.12,1.92,1.941762
0.910063,2.12,1.92,1.937987
0.9279635,2.12,1.92,1.934407
0.9482241,2.12,1.92,1.930355
0.9618607,2.12,1.92,1.927628
0.96951,2.12,1.92,1.926098
0.9799902,2.12,1.92,1.924002
0.9881877,2.12,1.92,1.922362
0.9944029,2.12,1.92,1.921119
0.9983223,2.12,1.92,1.920336
0.9997067,2.12,1.92,1.920059
0.9997067,1.92,2.12,1.820059
0,1.92,2.12,1.92
0.0004964275,1.92,2.12,1.920099
0.002116953,1.92,2.12,1.920423
0.006290228,1.92,2.12,1.921258
0.01042213,1.92,2.12,1.922084
0.0183196,1.92,2.12,1.923664
0.02461581,1.92,2.12,1.924923
0.0361709,1.92,2.12,1.927234
0.04904407,1.92,2.12,1.929809
0.06369437,1.92,2.12,1.932739
0.08027901,1.92,2.12,1.936056
0.09332395,1.92,2.12,1.938665
0.1117093,1.92,2.12,1.942342
0.1250929,1.92,2.12,1.945019
0.1393505,1.92,2.12,1.94787
0.1546538,1.92,2.12,1.950931
0.1785585,1.92,2.12,1.955712
0.1948313,1.92,2.12,1.958966
0.2197322,1.92,2.12,1.963946
0.2370279,1.92,2.12,1.967406
0.2561436,1.92,2.12,1.971229
0.2819279,1.92,2.12,1.976385
0.3003777,1.92,2.12,1.980075
0.3193606,1.92,2.12,1.983872
0.3379033,1.92,2.12,1.987581
0.3573344,1.92,2.12,1.991467
0.3768727,1.92,2.12,1.995374
0.4067035,1.92,2.12,2.001341
0.4265033,1.92,2.12,2.005301
0.4463843,1.92,2.12,2.009277
0.4665969,1.92,2.12,2.013319
0.4866679,1.92,2.12,2.017334
0.5069531,1.92,2.12,2.02139
0.5278529,1.92,2.12,2.02557
0.5470642,1.92,2.12,2.029413
0.5675534,1.92,2.12,2.033511
0.597059,1.92,2.12,2.039412
0.6166964,1.92,2.12,2.043339
0.6363263,1.92,2.12,2.047265
0.6557039,1.92,2.12,2.051141
0.6746897,1.92,2.12,2.054938
0.6938386,1.92,2.12,2.058768
0.7131566,1.92,2.12,2.062631
0.7395301,1.92,2.12,2.067906
0.7575194,1.92,2.12,2.071504
0.7839846,1.92,2.12,2.076797
0.8091217,1.92,2.12,2.081824
0.8324443,1.92,2.12,2.086489
0.8474047,1.92,2.12,2.089481
0.86273,1.92,2.12,2.092546
0.883265,1.92,2.12,2.096653
0.8963411,1.92,2.12,2.099268
0.9087698,1.92,2.12,2.101754
0.9268562,1.92,2.12,2.105371
0.9423071,1.92,2.12,2.108461
0.9519745,1.92,2.12,2.110395
0.9608266,1.92,2.12,2.112165
0.9688029,1.92,2.12,2.11376
0.9762427,1.92,2.12,2.115248
0.9851797,1.92,2.12,2.117036
0.9901147,1.92,2.12,2.118023
0.995697,1.92,2.12,2.119139
0.9981568,1.92,2.12,2.119631
0.9996344,1.92,2.12,2.119927
0.9996344,1.92,2.12,2.12
0,2.12,1.92,2.12
0.0005301592,2.12,1.92,2.119894
0.002135592,2.12,1.92,2.119573
0.004768595,2.12,1.92,2.119046
0.008366226,2.12,1.92,2.118327
0.01294739,2.12,1.92,2.11741
0.02174798,2.12,1.92,2.11565
0.03255358,2.12,1.92,2.113489
0.04546677,2.12,1.92,2.110907
0.05955867,2.12,1.92,2.108088
0.0762559,2.12,1.92,2.104749
0.0936636,2.12,1.92,2.101267
0.1128982,2.12,1.92,2.09742
0.1334898,2.12,1.92,2.093302
0.1480405,2.12,1.92,2.090392
0.162567,2.12,1.92,2.087487
0.1778479,2.12,1.92,2.08443
0.1940721,2.12,1.92,2.081186
0.2109604,2.12,1.92,2.077808
0.2276236,2.12,1.92,2.074475
0.2451055,2.12,1.92,2.070979
0.2626737,2.12,1.92,2.067465
0.2904823,2.12,1.92,2.061903
0.3088071,2.12,1.92,2.058239
0.327997,2.12,1.92,2.0544
0.3470054,2.12,1.92,2.050599
0.3664042,2.12,1.92,2.046719
0.3863204,2.12,1.92,2.042736
0.4065359,2.12,1.92,2.038693
0.4261916,2.12,1.92,2.034762
0.4458869,2.12,1.92,2.030823
0.4758883,2.12,1.92,2.024822
0.495731,2.12,1.92,2.020854
0.5166915,2.12,1.92,2.016662
0.5369636,2.12,1.92,2.012607
0.5567365,2.12,1.92,2.008653
0.5771006,2.12,1.92,2.00458
0.5970719,2.12,1.92,2.000586
0.6164458,2.12,1.92,1.996711
0.6362222,2.12,1.92,1.992756
0.6653936,2.12,1.92,1.986921
0.6939549,2.12,1.92,1.981209
0.7120605,2.12,1.92,1.977588
0.7302326,2.12,1.92,1.973953
0.7483798,2.12,1.92,1.970324
0.7659233,2.12,1.92,1.966815
0.7831011,2.12,1.92,1.96338
0.8080169,2.12,1.92,1.958397
0.8323144,2.12,1.92,1.953537
0.8472072,2.12,1.92,1.950559
0.8617489,2.12,1.92,1.94765
0.8830367,2.12,1.92,1.943393
0.896069,2.12,1.92,1.940786
0.9147459,2.12,1.92,1.937051
0.9261362,2.12,1.92,1.934773
0.9371418,2.12,1.92,1.932572
0.9515862,2.12,1.92,1.929683
0.9604275,2.12,1.92,1.927915
0.9687626,2.12,1.92,1.926247
0.9757437,2.12,1.92,1.924851
0.9822375,2.12,1.92,1.923553
0.9875533,2.12,1.92,1.922489
0.9921241,2.12,1.92,1.921575
0.9955439,2.12,1.92,1.920891
0.9981043,2.12,1.92,1.920379
0.9999219,2.12,1.92,1.920016
0.9999219,1.92,2.12,1.820016
0,1.92,2.12,1.92
0.0005195799,1.92,2.12,1.920104
0.00207073,1.92,2.12,1.920414
0.0046842,1.92,2.12,1.920937
0.008216425,1.92,2.12,1.921643
0.01282784,1.92,2.12,1.922566
0.0183339,1.92,2.12,1.923667
0.02482273,1.92,2.12,1.924965
0.03598073,1.92,2.12,1.927196
0.04442449,1.92,2.12,1.928885
0.05388556,1.92,2.12,1.930777
0.06389546,1.92,2.12,1.932779
0.07491806,1.92,2.12,1.934984
0.08663613,1.92,2.12,1.937327
0.09899352,1.92,2.12,1.939799
0.1116603,1.92,2.12,1.942332
0.1253567,1.92,2.12,1.945071
0.1469597,1.92,2.12,1.949392
0.1619209,1.92,2.12,1.952384
0.1775166,1.92,2.12,1.955503
0.193501,1.92,2.12,1.9587
0.2101224,1.92,2.12,1.962024
0.2269507,1.92,2.12,1.96539
0.2447463,1.92,2.12,1.968949
0.2621993,1.92,2.12,1.97244
0.2879898,1.92,2.12,1.977598
0.3180163,1.92,2.12,1.983603
0.3372507,1.92,2.12,1.98745
0.3561266,1.92,2.12,1.991225
0.3783336,1.92,2.12,1.995667
0.4071808,1.92,2.12,2.001436
0.4266414,1.92,2.12,2.005328
0.4464774,1.92,2.12,2.009295
0.4663609,1.92,2.12,2.013272
0.4865853,1.92,2.12,2.017317
0.5170468,1.92,2.12,2.023409
0.5370843,1.92,2.12,2.027417
0.5572744,1.92,2.12,2.031455
0.5770914,1.92,2.12,2.035418
0.5967625,1.92,2.12,2.039352
0.6167467,1.92,2.12,2.043349
0.6363508,1.92,2.12,2.04727
0.6556278,1.92,2.12,2.051126
0.6758592,1.92,2.12,2.055172
0.7028584,1.92,2.12,2.060572
0.7216328,1.92,2.12,2.064327
0.7397292,1.92,2.12,2.067946
0.7572618,1.92,2.12,2.071452
0.7747108,1.92,2.12,2.074942
0.7915544,1.92,2.12,2.078311
0.808208,1.92,2.12,2.081641
0.8241684,1.92,2.12,2.084834
0.839792,1.92,2.12,2.087958
0.8620814,1.92,2.12,2.092416
0.8761058,1.92,2.12,2.095221
0.8894978,1.92,2.12,2.097899
0.90252,1.92,2.12,2.100504
0.9149248,1.92,2.12,2.102985
0.9264959,1.92,2.12,2.105299
0.9370705,1.92,2.12,2.107414
0.9473704,1.92,2.12,2.109474
0.9565205,1.92,2.12,2.111304
0.9688215,1.92,2.12,2.113764
0.9760059,1.92,2.12,2.115201
0.9822946,1.92,2.12,2.116459
0.9877421,1.92,2.12,2.117548
0.9921592,1.92,2.12,2.118432
0.9956829,1.92,2.12,2.119137
0.998127,1.92,2.12,2.119625
0.9995865,1.92,2.12,2.119917
0.9995865,1.92,2.12,2.12
0,2.12,1.92,2.12
0.001189651,2.12,1.92,2.119762
0.003300291,2.12,1.92,2.11934
0.006360762,2.12,1.92,2.118728
0.01044348,2.12,1.92,2.117911
0.01555337,2.12,1.92,2.116889
0.02148298,2.12,1.92,2.115703
0.02844061,2.12,1.92,2.114312
0.03606422,2.12,1.92,2.112787
